date,hate_crimes,county
2015-1-1,29,thames-valley
2015-10-1,30,thames-valley
2015-11-1,30,thames-valley
2015-12-1,31,thames-valley
2015-2-1,27,thames-valley
2015-3-1,30,thames-valley
2015-4-1,28,thames-valley
2015-5-1,30,thames-valley
2015-6-1,30,thames-valley
2015-7-1,31,thames-valley
2015-8-1,31,thames-valley
2015-9-1,28,thames-valley
2016-1-1,29,thames-valley
2016-10-1,31,thames-valley
2016-11-1,29,thames-valley
2016-12-1,30,thames-valley
2016-2-1,29,thames-valley
2016-3-1,31,thames-valley
2016-4-1,29,thames-valley
2016-5-1,31,thames-valley
2016-6-1,30,thames-valley
2016-7-1,31,thames-valley
2016-8-1,30,thames-valley
2016-9-1,30,thames-valley
2017-1-1,29,thames-valley
2017-10-1,31,thames-valley
2017-11-1,30,thames-valley
2017-12-1,31,thames-valley
2017-2-1,28,thames-valley
2017-3-1,31,thames-valley
2017-4-1,30,thames-valley
2017-5-1,31,thames-valley
2017-6-1,30,thames-valley
2017-7-1,31,thames-valley
2017-8-1,31,thames-valley
2017-9-1,29,thames-valley
2018-1-1,31,thames-valley
2018-2-1,27,thames-valley
2018-3-1,31,thames-valley
2018-4-1,28,thames-valley
